Date, Close/Last, Volume, Open, High, Low
07/24/2020, $3008.91, 5632413, $2930, $3031.58, $2888
07/23/2020, $2986.55, 5656906, $3098.2713, $3098.2713, $2970
07/22/2020, $3099.91, 4104225, $3125, $3149.9999, $3065.26
07/21/2020, $3138.29, 6134965, $3232.49, $3240.5758, $3105.72
07/20/2020, $3196.84, 7598176, $3000.2, $3201.3599, $2994.0172
07/17/2020, $2961.97, 4761319, $3009, $3024, $2948.45
07/16/2020, $2999.9, 6394246, $2971.06, $3032, $2918.23
07/15/2020, $3008.87, 5788874, $3080.23, $3098.35, $2973.1801
07/14/2020, $3084, 7231933, $3089, $3127.38, $2950
07/13/2020, $3104, 7720420, $3251.06, $3344.29, $3068.3901
07/10/2020, $3200, 5485982, $3191.76, $3215, $3135.7
07/09/2020, $3182.63, 6388659, $3115.99, $3193.8799, $3074.0016
07/08/2020, $3081.11, 5037635, $3022.61, $3083.97, $3012.4301
07/07/2020, $3000.12, 5257514, $3058.55, $3069.55, $2990
07/06/2020, $3057.04, 6880642, $2934.97, $3059.88, $2930
07/02/2020, $2890.3, 6593387, $2912.01, $2955.56, $2871.1021
07/01/2020, $2878.7, 6363439, $2757.99, $2895, $2754
06/30/2020, $2758.82, 3769686, $2685.065, $2769.63, $2675.03
06/29/2020, $2680.38, 4223422, $2690.01, $2696.8, $2630.08
06/26/2020, $2692.87, 6500784, $2775.056, $2782.5688, $2688
